Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1010.66,4965.31,0.00,0.00,0.41,4.91,11.59,1111.03,0.42,3.46,65.54,95.84,0.00,1699.61,0.00,0.00,5.44,2093799.13,1.17,3.13
nvme0n1,4305.00,267332.00,0.00,0.00,0.18,62.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4293.00,279288.00,0.00,0.00,0.18,65.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4343.00,270552.00,0.00,0.00,0.18,62.30,2.00,12.00,1.00,33.33,0.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4337.00,276872.00,0.00,0.00,0.18,63.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4392.00,268552.00,0.00,0.00,0.18,61.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4243.00,276944.00,0.00,0.00,0.18,65.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4347.00,274900.00,0.00,0.00,0.18,63.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,3400.00,205272.00,0.00,0.00,0.24,60.37,7769.00,763628.00,1.00,0.01,0.16,98.29,0.00,0.00,0.00,0.00,0.00,0.00,2.03,100.00
nvme0n1,465.00,29888.00,0.00,0.00,2.08,64.28,25431.00,2525468.00,0.00,0.00,2.89,99.31,0.00,0.00,0.00,0.00,0.00,0.00,74.39,100.00
nvme0n1,127.00,9472.00,0.00,0.00,7.83,74.58,10748.00,1060476.00,1.00,0.01,0.47,98.67,0.00,0.00,0.00,0.00,0.00,0.00,6.00,100.00
nvme0n1,117.00,6960.00,0.00,0.00,8.53,59.49,10743.00,1063428.00,0.00,0.00,0.29,98.99,0.00,0.00,0.00,0.00,0.00,0.00,4.10,100.00
nvme0n1,94.00,5684.00,0.00,0.00,10.62,60.47,10616.00,1049800.00,1.00,0.01,0.83,98.89,0.00,0.00,0.00,0.00,0.00,0.00,9.80,100.00
nvme0n1,104.00,7060.00,0.00,0.00,9.55,67.88,10494.00,1036916.00,3.00,0.03,2.43,98.81,0.00,0.00,0.00,0.00,0.00,0.00,26.54,100.00
nvme0n1,213.00,14180.00,0.00,0.00,4.64,66.57,10302.00,1021656.00,1.00,0.01,0.35,99.17,0.00,0.00,0.00,0.00,0.00,0.00,4.64,100.00
nvme0n1,4322.00,270168.00,0.00,0.00,0.18,62.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4274.00,272356.00,0.00,0.00,0.18,63.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4295.00,272500.00,0.00,0.00,0.18,63.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4308.00,275516.00,0.00,0.00,0.18,63.95,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4278.00,273680.00,0.00,0.00,0.18,63.97,2.00,8.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4263.00,274968.00,0.00,0.00,0.18,64.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4280.00,273136.00,0.00,0.00,0.18,63.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
