Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1009.06,4823.81,0.00,0.00,0.41,4.78,10.14,970.61,0.42,3.94,74.78,95.75,0.00,1700.73,0.00,0.00,5.44,2093799.13,1.17,3.07
nvme0n1,3804.00,247268.00,0.00,0.00,0.20,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,3828.00,251156.00,0.00,0.00,0.20,65.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,3794.00,247040.00,0.00,0.00,0.21,65.11,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,3863.00,246864.00,0.00,0.00,0.20,63.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,3847.00,250508.00,0.00,0.00,0.20,65.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,3813.00,245416.00,0.00,0.00,0.20,64.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,3879.00,245696.00,0.00,0.00,0.20,63.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,3810.00,253012.00,0.00,0.00,0.20,66.41,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,3044.00,189532.00,0.00,0.00,0.27,62.26,3229.00,284652.00,0.00,0.00,0.26,88.15,0.00,0.00,0.00,0.00,0.00,0.00,1.64,100.00
nvme0n1,156.00,9320.00,0.00,0.00,6.40,59.74,12120.00,1070196.00,1.00,0.01,0.41,88.30,0.00,0.00,0.00,0.00,0.00,0.00,5.96,100.00
nvme0n1,141.00,9060.00,0.00,0.00,7.04,64.26,12062.00,1056136.00,0.00,0.00,0.46,87.56,0.00,0.00,0.00,0.00,0.00,0.00,6.50,100.00
nvme0n1,2885.00,184884.00,0.00,0.00,0.29,64.08,3090.00,272136.00,1.00,0.03,0.47,88.07,0.00,0.00,0.00,0.00,0.00,0.00,2.29,100.00
nvme0n1,1065.00,68380.00,0.00,0.00,0.34,64.21,2729.00,238836.00,3.00,0.11,0.41,87.52,0.00,0.00,0.00,0.00,0.00,0.00,1.48,48.40
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,2.00,12.00,1.00,33.33,11.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,2.40
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nvme0n1,610.00,38920.00,0.00,0.00,0.32,63.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,23.60
nvme0n1,2806.00,168004.00,0.00,0.00,0.30,59.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,100.00
nvme0n1,4419.00,274864.00,0.00,0.00,0.17,62.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4509.00,269432.00,0.00,0.00,0.17,59.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
