Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1010.84,4430.81,0.00,0.00,0.40,4.38,5.59,539.35,0.41,6.77,134.41,96.47,0.00,1715.17,0.00,0.00,5.44,2093799.13,1.16,2.25
nvme0n1,231.00,14820.00,0.00,0.00,4.32,64.16,369.00,33092.00,3.00,0.81,4.00,89.68,0.00,0.00,0.00,0.00,0.00,0.00,2.48,100.00
nvme0n1,228.00,14884.00,0.00,0.00,4.30,65.28,345.00,32840.00,224.00,39.37,2.90,95.19,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,228.00,15216.00,0.00,0.00,4.33,66.74,345.00,33128.00,3.00,0.86,2.90,96.02,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,230.00,16136.00,0.00,0.00,4.29,70.16,355.00,33136.00,3.00,0.84,2.82,93.34,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,228.00,13612.00,0.00,0.00,4.33,59.70,341.00,33076.00,5.00,1.45,2.92,97.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,229.00,15520.00,0.00,0.00,4.36,67.77,351.00,33092.00,0.00,0.00,2.84,94.28,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,229.00,15052.00,0.00,0.00,4.34,65.73,357.00,32724.00,30.00,7.75,2.80,91.66,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,230.00,15484.00,0.00,0.00,4.28,67.32,353.00,33108.00,4.00,1.12,2.83,93.79,0.00,0.00,0.00,0.00,0.00,0.00,1.98,99.60
nvme0n1,230.00,15296.00,0.00,0.00,4.29,66.50,369.00,33068.00,4.00,1.07,2.70,89.62,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,230.00,15328.00,0.00,0.00,4.37,66.64,355.00,33180.00,2.00,0.56,2.82,93.46,0.00,0.00,0.00,0.00,0.00,0.00,2.01,100.40
nvme0n1,226.00,14644.00,0.00,0.00,4.33,64.80,368.00,33128.00,0.00,0.00,2.71,90.02,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,203.00,13248.00,0.00,0.00,4.38,65.26,352.00,32740.00,20.00,5.38,2.86,93.01,0.00,0.00,0.00,0.00,0.00,0.00,1.90,100.00
nvme0n1,227.00,13892.00,0.00,0.00,4.40,61.20,353.00,35160.00,0.00,0.00,2.85,99.60,0.00,0.00,0.00,0.00,0.00,0.00,2.01,100.00
nvme0n1,231.00,15392.00,0.00,0.00,4.27,66.63,351.00,33124.00,3.00,0.85,2.85,94.37,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,230.00,16960.00,0.00,0.00,4.30,73.74,368.00,33076.00,0.00,0.00,2.71,89.88,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,230.00,13836.00,0.00,0.00,4.28,60.16,356.00,33128.00,2.00,0.56,2.81,93.06,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,229.00,15200.00,0.00,0.00,4.37,66.38,360.00,32784.00,16.00,4.26,2.77,91.07,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,230.00,14472.00,0.00,0.00,4.29,62.92,369.00,33160.00,0.00,0.00,2.71,89.86,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,228.00,15248.00,0.00,0.00,4.32,66.88,378.00,33028.00,0.00,0.00,2.63,87.38,0.00,0.00,0.00,0.00,0.00,0.00,1.98,99.60
nvme0n1,228.00,14708.00,0.00,0.00,4.40,64.51,382.00,33124.00,0.00,0.00,2.62,86.71,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.40
nvme0n1,230.00,16736.00,0.00,0.00,4.31,72.77,378.00,33112.00,2.00,0.53,2.64,87.60,0.00,0.00,0.00,0.00,0.00,0.00,1.99,99.60
nvme0n1,229.00,13324.00,0.00,0.00,4.31,58.18,389.00,32812.00,2.00,0.51,2.57,84.35,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.40
nvme0n1,228.00,16484.00,0.00,0.00,4.36,72.30,376.00,33108.00,4.00,1.05,2.65,88.05,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,230.00,15344.00,0.00,0.00,4.32,66.71,385.00,33028.00,4.00,1.03,2.59,85.79,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,230.00,14592.00,0.00,0.00,4.28,63.44,379.00,33184.00,3.00,0.79,2.64,87.56,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,231.00,14164.00,0.00,0.00,4.33,61.32,376.00,33092.00,1.00,0.27,2.65,88.01,0.00,0.00,0.00,0.00,0.00,0.00,2.00,99.60
nvme0n1,229.00,14404.00,0.00,0.00,4.29,62.90,380.00,32752.00,21.00,5.24,2.63,86.19,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.40
nvme0n1,230.00,14748.00,0.00,0.00,4.33,64.12,626.00,33072.00,163.00,20.66,1.59,52.83,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,230.00,14728.00,0.00,0.00,4.34,64.03,376.00,33100.00,3.00,0.79,2.66,88.03,0.00,0.00,0.00,0.00,0.00,0.00,2.00,99.60
