Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1014.15,5276.82,0.00,0.00,0.41,5.20,14.94,1431.45,0.42,2.71,51.14,95.84,0.00,1697.12,0.00,0.00,5.44,2093799.13,1.18,3.27
nvme0n1,4050.00,269992.00,0.00,0.00,0.19,66.66,1.00,2048.00,0.00,0.00,1.00,2048.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4049.00,272060.00,0.00,0.00,0.19,67.19,2.00,16.00,2.00,50.00,2.50,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4125.00,266612.00,0.00,0.00,0.19,64.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4093.00,272040.00,0.00,0.00,0.19,66.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4058.00,270432.00,0.00,0.00,0.19,66.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4120.00,271136.00,0.00,0.00,0.19,65.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,3360.00,216820.00,0.00,0.00,0.24,64.53,2256.00,210736.00,1.00,0.04,0.32,93.41,0.00,0.00,0.00,0.00,0.00,0.00,1.52,100.00
nvme0n1,183.00,11624.00,0.00,0.00,5.45,63.52,11554.00,1072372.00,0.00,0.00,0.37,92.81,0.00,0.00,0.00,0.00,0.00,0.00,5.24,100.00
nvme0n1,103.00,5996.00,0.00,0.00,9.56,58.21,11373.00,1045740.00,1.00,0.01,0.62,91.95,0.00,0.00,0.00,0.00,0.00,0.00,7.98,100.00
nvme0n1,103.00,6656.00,0.00,0.00,9.57,64.62,11034.00,1024108.00,2.00,0.02,0.43,92.81,0.00,0.00,0.00,0.00,0.00,0.00,5.78,100.00
