Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1018.71,5684.71,0.00,0.00,0.41,5.58,19.32,1851.41,0.42,2.11,39.82,95.82,0.00,1693.87,0.00,0.00,5.44,2093799.13,1.18,3.44
nvme0n1,124.00,8892.00,0.00,0.00,7.98,71.71,11375.00,1053636.00,3.00,0.03,0.45,92.63,0.00,0.00,0.00,0.00,0.00,0.00,6.16,100.00
nvme0n1,108.00,7096.00,0.00,0.00,9.16,65.70,11489.00,1064492.00,1.00,0.01,0.82,92.65,0.00,0.00,0.00,0.00,0.00,0.00,10.46,100.00
nvme0n1,110.00,5708.00,0.00,0.00,9.14,51.89,11599.00,1068732.00,1.00,0.01,0.83,92.14,0.00,0.00,0.00,0.00,0.00,0.00,10.58,100.00
nvme0n1,103.00,6460.00,0.00,0.00,9.64,62.72,10794.00,1005228.00,0.00,0.00,0.49,93.13,0.00,0.00,0.00,0.00,0.00,0.00,6.32,100.00
nvme0n1,105.00,7208.00,0.00,0.00,9.45,68.65,11537.00,1063456.00,0.00,0.00,0.37,92.18,0.00,0.00,0.00,0.00,0.00,0.00,5.29,100.00
nvme0n1,1098.00,73312.00,0.00,0.00,0.86,66.77,8288.00,762596.00,3.00,0.04,0.28,92.01,0.00,0.00,0.00,0.00,0.00,0.00,3.24,100.00
nvme0n1,4048.00,264612.00,0.00,0.00,0.19,65.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4039.00,267780.00,0.00,0.00,0.19,66.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4031.00,267048.00,0.00,0.00,0.19,66.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4084.00,265008.00,0.00,0.00,0.19,64.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,3996.00,263920.00,0.00,0.00,0.20,66.05,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4058.00,258168.00,0.00,0.00,0.19,63.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4072.00,266216.00,0.00,0.00,0.19,65.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4064.00,270460.00,0.00,0.00,0.19,66.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4113.00,265312.00,0.00,0.00,0.19,64.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4036.00,265224.00,0.00,0.00,0.19,65.71,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4048.00,269160.00,0.00,0.00,0.19,66.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4053.00,273124.00,0.00,0.00,0.19,67.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4075.00,267928.00,0.00,0.00,0.19,65.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4082.00,273212.00,0.00,0.00,0.19,66.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,3961.00,264284.00,0.00,0.00,0.20,66.72,2.00,12.00,1.00,33.33,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4002.00,267428.00,0.00,0.00,0.20,66.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4052.00,262932.00,0.00,0.00,0.19,64.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,3975.00,264828.00,0.00,0.00,0.19,66.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4007.00,264064.00,0.00,0.00,0.19,65.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4027.00,263880.00,0.00,0.00,0.19,65.53,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4011.00,259460.00,0.00,0.00,0.19,64.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,3947.00,263852.00,0.00,0.00,0.20,66.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4034.00,270204.00,0.00,0.00,0.19,66.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
