Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1013.86,5252.35,0.00,0.00,0.41,5.18,14.71,1409.82,0.42,2.75,51.90,95.83,0.00,1697.31,0.00,0.00,5.44,2093799.13,1.18,3.26
nvme0n1,4279.00,272504.00,0.00,0.00,0.18,63.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4240.00,272456.00,0.00,0.00,0.19,64.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4295.00,265196.00,0.00,0.00,0.18,61.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4303.00,269600.00,0.00,0.00,0.18,62.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4240.00,269104.00,0.00,0.00,0.18,63.47,2.00,12.00,1.00,33.33,0.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4238.00,265356.00,0.00,0.00,0.18,62.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4280.00,274504.00,0.00,0.00,0.18,64.14,1.00,2048.00,0.00,0.00,1.00,2048.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4258.00,270544.00,0.00,0.00,0.18,63.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4267.00,275648.00,0.00,0.00,0.18,64.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4242.00,274696.00,0.00,0.00,0.19,64.76,2.00,16.00,2.00,50.00,0.50,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4219.00,272340.00,0.00,0.00,0.19,64.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4196.00,272972.00,0.00,0.00,0.19,65.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4228.00,269316.00,0.00,0.00,0.19,63.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4195.00,267784.00,0.00,0.00,0.19,63.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4252.00,266276.00,0.00,0.00,0.18,62.62,2.00,12.00,1.00,33.33,0.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4306.00,266472.00,0.00,0.00,0.18,61.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4272.00,270224.00,0.00,0.00,0.18,63.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4252.00,265628.00,0.00,0.00,0.18,62.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4227.00,267928.00,0.00,0.00,0.18,63.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4283.00,272396.00,0.00,0.00,0.18,63.60,2.00,12.00,1.00,33.33,0.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4216.00,270956.00,0.00,0.00,0.19,64.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,1945.00,122284.00,0.00,0.00,0.46,62.87,18345.00,1814364.00,0.00,0.00,0.79,98.90,0.00,0.00,0.00,0.00,0.00,0.00,15.36,100.00
nvme0n1,569.00,33840.00,0.00,0.00,1.69,59.47,28551.00,2831780.00,1.00,0.00,3.43,99.18,0.00,0.00,0.00,0.00,0.00,0.00,98.96,100.00
nvme0n1,548.00,35976.00,0.00,0.00,1.76,65.65,28879.00,2855272.00,0.00,0.00,3.33,98.87,0.00,0.00,0.00,0.00,0.00,0.00,97.12,100.00
nvme0n1,3236.00,204692.00,0.00,0.00,0.26,63.25,8200.00,802380.00,2.00,0.02,3.30,97.85,0.00,0.00,0.00,0.00,0.00,0.00,27.91,100.00
nvme0n1,4218.00,274504.00,0.00,0.00,0.19,65.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4300.00,269492.00,0.00,0.00,0.18,62.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4285.00,276916.00,0.00,0.00,0.18,64.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4323.00,271528.00,0.00,0.00,0.18,62.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
