Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1009.66,4308.83,0.00,0.00,0.40,4.27,4.20,407.18,0.39,8.43,178.64,96.96,0.00,1716.50,0.00,0.00,5.44,2093799.13,1.16,2.18
nvme0n1,4113.00,261748.00,0.00,0.00,0.19,63.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4109.00,264668.00,0.00,0.00,0.19,64.41,2.00,16.00,2.00,50.00,2.50,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,100.00
nvme0n1,4114.00,258536.00,0.00,0.00,0.19,62.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4065.00,263912.00,0.00,0.00,0.19,64.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4044.00,259252.00,0.00,0.00,0.19,64.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4025.00,264228.00,0.00,0.00,0.19,65.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4031.00,256756.00,0.00,0.00,0.19,63.70,2.00,12.00,1.00,33.33,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4075.00,259772.00,0.00,0.00,0.19,63.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4080.00,259616.00,0.00,0.00,0.19,63.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,520.00,33136.00,0.00,0.00,1.84,63.72,10424.00,979312.00,1.00,0.01,0.33,93.95,0.00,0.00,0.00,0.00,0.00,0.00,4.45,100.00
nvme0n1,121.00,7320.00,0.00,0.00,8.17,60.50,11214.00,1058256.00,0.00,0.00,0.27,94.37,0.00,0.00,0.00,0.00,0.00,0.00,3.98,100.00
nvme0n1,193.00,11564.00,0.00,0.00,5.08,59.92,11275.00,1058720.00,2.00,0.02,0.29,93.90,0.00,0.00,0.00,0.00,0.00,0.00,4.22,100.00
nvme0n1,127.00,8456.00,0.00,0.00,8.00,66.58,11220.00,1050252.00,78.00,0.69,0.72,93.61,0.00,0.00,0.00,0.00,0.00,0.00,9.09,100.00
