Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1010.22,4926.39,0.00,0.00,0.41,4.88,11.19,1072.35,0.42,3.59,67.87,95.86,0.00,1699.92,0.00,0.00,5.44,2093799.13,1.17,3.11
nvme0n1,4095.00,263060.00,0.00,0.00,0.19,64.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4103.00,263136.00,0.00,0.00,0.19,64.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4104.00,261604.00,0.00,0.00,0.19,63.74,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4068.00,264372.00,0.00,0.00,0.19,64.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4028.00,270460.00,0.00,0.00,0.19,67.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4116.00,265300.00,0.00,0.00,0.19,64.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4017.00,268740.00,0.00,0.00,0.19,66.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4070.00,264948.00,0.00,0.00,0.19,65.10,2.00,12.00,1.00,33.33,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4014.00,263536.00,0.00,0.00,0.19,65.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4088.00,266080.00,0.00,0.00,0.19,65.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,3997.00,262204.00,0.00,0.00,0.20,65.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4028.00,265504.00,0.00,0.00,0.19,65.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4022.00,262788.00,0.00,0.00,0.19,65.34,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,2851.00,186864.00,0.00,0.00,0.30,65.54,3520.00,325384.00,0.00,0.00,0.46,92.44,0.00,0.00,0.00,0.00,0.00,0.00,2.46,100.00
nvme0n1,118.00,7916.00,0.00,0.00,8.44,67.08,11412.00,1058448.00,0.00,0.00,0.35,92.75,0.00,0.00,0.00,0.00,0.00,0.00,4.97,100.00
nvme0n1,191.00,12032.00,0.00,0.00,5.16,62.99,11538.00,1063180.00,2.00,0.02,0.22,92.15,0.00,0.00,0.00,0.00,0.00,0.00,3.58,100.00
nvme0n1,99.00,6384.00,0.00,0.00,10.02,64.48,11244.00,1038124.00,0.00,0.00,0.45,92.33,0.00,0.00,0.00,0.00,0.00,0.00,6.05,100.00
nvme0n1,120.00,6856.00,0.00,0.00,8.31,57.13,11242.00,1038404.00,1.00,0.01,0.62,92.37,0.00,0.00,0.00,0.00,0.00,0.00,7.96,100.00
nvme0n1,118.00,7928.00,0.00,0.00,8.38,67.19,11316.00,1043416.00,1.00,0.01,1.28,92.21,0.00,0.00,0.00,0.00,0.00,0.00,15.43,100.00
nvme0n1,116.00,7296.00,0.00,0.00,8.59,62.90,11522.00,1062648.00,1.00,0.01,1.41,92.23,0.00,0.00,0.00,0.00,0.00,0.00,17.19,100.00
