Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1009.99,4342.84,0.00,0.00,0.40,4.30,4.57,441.70,0.39,7.94,164.15,96.62,0.00,1716.14,0.00,0.00,5.44,2093799.13,1.16,2.20
nvme0n1,236.00,14028.00,0.00,0.00,4.19,59.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,100.00
nvme0n1,235.00,16276.00,0.00,0.00,4.20,69.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,100.00
nvme0n1,235.00,14972.00,0.00,0.00,4.21,63.71,2.00,12.00,1.00,33.33,5.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,234.00,14784.00,0.00,0.00,4.23,63.18,220.00,1900.00,259.00,54.07,2.19,8.64,0.00,0.00,0.00,0.00,0.00,0.00,1.47,100.00
nvme0n1,235.00,14872.00,0.00,0.00,4.24,63.29,390.00,33032.00,59.00,13.14,3.06,84.70,0.00,0.00,0.00,0.00,0.00,0.00,2.19,99.60
nvme0n1,235.00,14008.00,0.00,0.00,4.27,59.61,327.00,33200.00,0.00,0.00,3.06,101.53,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.40
nvme0n1,235.00,13540.00,0.00,0.00,4.19,57.62,328.00,33092.00,3.00,0.91,3.04,100.89,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,227.00,14072.00,0.00,0.00,4.20,61.99,322.00,33004.00,22.00,6.40,3.11,102.50,0.00,0.00,0.00,0.00,0.00,0.00,1.96,100.00
nvme0n1,234.00,15172.00,0.00,0.00,4.24,64.84,329.00,33032.00,3.00,0.90,3.03,100.40,0.00,0.00,0.00,0.00,0.00,0.00,1.99,99.60
nvme0n1,231.00,14060.00,0.00,0.00,4.27,60.87,327.00,33180.00,2.00,0.61,3.06,101.47,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.40
nvme0n1,236.00,13076.00,0.00,0.00,4.36,55.41,333.00,33140.00,1.00,0.30,3.00,99.52,0.00,0.00,0.00,0.00,0.00,0.00,2.03,100.00
nvme0n1,234.00,16240.00,0.00,0.00,4.29,69.40,331.00,33096.00,4.00,1.19,3.02,99.99,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,202.00,12488.00,0.00,0.00,4.20,61.82,326.00,32956.00,34.00,9.44,3.16,101.09,0.00,0.00,0.00,0.00,0.00,0.00,1.88,100.00
nvme0n1,234.00,14752.00,0.00,0.00,4.28,63.04,326.00,33144.00,1.00,0.31,3.07,101.67,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,235.00,14024.00,0.00,0.00,4.20,59.68,326.00,33100.00,4.00,1.21,3.06,101.53,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,235.00,15296.00,0.00,0.00,4.30,65.09,336.00,33092.00,5.00,1.47,2.97,98.49,0.00,0.00,0.00,0.00,0.00,0.00,2.01,100.00
nvme0n1,234.00,14352.00,0.00,0.00,4.20,61.33,321.00,33144.00,6.00,1.83,3.12,103.25,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,234.00,14476.00,0.00,0.00,4.27,61.86,331.00,32880.00,31.00,8.56,3.01,99.34,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,234.00,13984.00,0.00,0.00,4.21,59.76,325.00,33072.00,2.00,0.61,3.07,101.76,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,235.00,13036.00,0.00,0.00,4.23,55.47,331.00,33208.00,3.00,0.90,3.03,100.33,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,235.00,14948.00,0.00,0.00,4.31,63.61,326.00,33108.00,4.00,1.21,3.06,101.56,0.00,0.00,0.00,0.00,0.00,0.00,2.01,100.00
nvme0n1,227.00,13824.00,0.00,0.00,4.33,60.90,324.00,33140.00,4.00,1.22,3.08,102.28,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,190.00,11488.00,0.00,0.00,4.33,60.46,331.00,32712.00,28.00,7.80,3.15,98.83,0.00,0.00,0.00,0.00,0.00,0.00,1.87,100.00
nvme0n1,229.00,13924.00,0.00,0.00,4.32,60.80,329.00,33092.00,3.00,0.90,3.04,100.58,0.00,0.00,0.00,0.00,0.00,0.00,1.99,99.60
nvme0n1,230.00,14188.00,0.00,0.00,4.33,61.69,332.00,33148.00,2.00,0.60,3.01,99.84,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.40
nvme0n1,231.00,14600.00,0.00,0.00,4.32,63.20,330.00,33192.00,5.00,1.49,3.03,100.58,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,231.00,13824.00,0.00,0.00,4.35,59.84,341.00,33032.00,4.00,1.16,2.92,96.87,0.00,0.00,0.00,0.00,0.00,0.00,2.00,99.60
nvme0n1,230.00,14952.00,0.00,0.00,4.33,65.01,326.00,32876.00,24.00,6.86,3.07,100.85,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.40
nvme0n1,231.00,14224.00,0.00,0.00,4.28,61.58,330.00,35020.00,2.00,0.60,3.04,106.12,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
