Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1008.37,4761.83,0.00,0.00,0.41,4.72,9.46,906.43,0.42,4.21,80.00,95.80,0.00,1701.23,0.00,0.00,5.44,2093799.13,1.17,3.04
nvme0n1,2312.00,151088.00,0.00,0.00,0.38,65.35,5189.00,468176.00,0.00,0.00,0.24,90.22,0.00,0.00,0.00,0.00,0.00,0.00,2.12,100.00
nvme0n1,4115.00,272168.00,0.00,0.00,0.19,66.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4116.00,277788.00,0.00,0.00,0.19,67.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4085.00,270628.00,0.00,0.00,0.19,66.25,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,3979.00,270016.00,0.00,0.00,0.19,67.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,100.00
nvme0n1,3950.00,262860.00,0.00,0.00,0.19,66.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,100.00
nvme0n1,3942.00,266240.00,0.00,0.00,0.19,67.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,100.00
nvme0n1,3515.00,235104.00,0.00,0.00,0.22,66.89,1808.00,155624.00,0.00,0.00,0.22,86.08,0.00,0.00,0.00,0.00,0.00,0.00,1.18,100.00
nvme0n1,155.00,9792.00,0.00,0.00,5.45,63.17,12082.00,1056056.00,7.00,0.06,0.26,87.41,0.00,0.00,0.00,0.00,0.00,0.00,4.04,99.20
nvme0n1,654.00,41492.00,0.00,0.00,1.47,63.44,10462.00,908032.00,3.00,0.03,0.24,86.79,0.00,0.00,0.00,0.00,0.00,0.00,3.45,100.00
nvme0n1,4028.00,269504.00,0.00,0.00,0.19,66.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,100.00
nvme0n1,4013.00,265996.00,0.00,0.00,0.19,66.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,100.00
nvme0n1,4041.00,266384.00,0.00,0.00,0.19,65.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,100.00
nvme0n1,4006.00,267888.00,0.00,0.00,0.19,66.87,3.00,2080.00,6.00,66.67,2.67,693.33,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,3997.00,264508.00,0.00,0.00,0.19,66.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,100.00
nvme0n1,3976.00,264760.00,0.00,0.00,0.19,66.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,100.00
nvme0n1,3799.00,249048.00,0.00,0.00,0.20,65.56,775.00,67756.00,0.00,0.00,0.19,87.43,0.00,0.00,0.00,0.00,0.00,0.00,0.92,100.00
nvme0n1,146.00,9176.00,0.00,0.00,6.72,62.85,12108.00,1054940.00,0.00,0.00,0.70,87.13,0.00,0.00,0.00,0.00,0.00,0.00,9.50,100.00
nvme0n1,617.00,43344.00,0.00,0.00,1.58,70.25,10472.00,909344.00,9.00,0.09,0.41,86.84,0.00,0.00,0.00,0.00,0.00,0.00,5.27,100.00
nvme0n1,4128.00,264448.00,0.00,0.00,0.18,64.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,100.00
nvme0n1,2507.00,161720.00,0.00,0.00,0.34,64.51,5197.00,445256.00,1.00,0.02,0.22,85.68,0.00,0.00,0.00,0.00,0.00,0.00,2.02,100.00
nvme0n1,4043.00,270084.00,0.00,0.00,0.19,66.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4046.00,265540.00,0.00,0.00,0.19,65.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
