Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1011.02,4461.43,0.00,0.00,0.40,4.41,5.89,567.84,0.41,6.49,127.57,96.36,0.00,1714.62,0.00,0.00,5.44,2093799.13,1.16,2.29
nvme0n1,232.00,12668.00,0.00,0.00,4.24,54.60,332.00,33112.00,4.00,1.19,3.01,99.73,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,230.00,14160.00,0.00,0.00,4.32,61.57,333.00,33164.00,3.00,0.89,3.00,99.59,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,233.00,13556.00,0.00,0.00,4.24,58.18,340.00,33140.00,2.00,0.58,2.94,97.47,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,227.00,14732.00,0.00,0.00,4.45,64.90,329.00,33040.00,3.00,0.90,3.03,100.43,0.00,0.00,0.00,0.00,0.00,0.00,2.01,100.00
nvme0n1,228.00,13440.00,0.00,0.00,4.30,58.95,341.00,32900.00,18.00,5.01,2.94,96.48,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,230.00,14352.00,0.00,0.00,4.29,62.40,331.00,33076.00,0.00,0.00,3.01,99.93,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,230.00,13812.00,0.00,0.00,4.29,60.05,336.00,33068.00,3.00,0.88,2.97,98.42,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,230.00,15080.00,0.00,0.00,4.30,65.57,335.00,33164.00,2.00,0.59,2.99,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,230.00,14532.00,0.00,0.00,4.32,63.18,323.00,33148.00,2.00,0.62,3.09,102.63,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,228.00,13724.00,0.00,0.00,4.37,60.19,330.00,32756.00,15.00,4.35,3.03,99.26,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,230.00,14444.00,0.00,0.00,4.29,62.80,394.00,33040.00,18.00,4.37,2.53,83.86,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,225.00,16920.00,0.00,0.00,4.40,75.20,333.00,33204.00,0.00,0.00,3.01,99.71,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,231.00,14300.00,0.00,0.00,4.26,61.90,327.00,33040.00,1.00,0.30,3.05,101.04,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,230.00,13180.00,0.00,0.00,4.27,57.30,335.00,33172.00,1.00,0.30,2.99,99.02,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,230.00,14948.00,0.00,0.00,4.35,64.99,329.00,32640.00,2.00,0.60,3.04,99.21,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,227.00,13896.00,0.00,0.00,4.33,61.22,328.00,33132.00,0.00,0.00,3.05,101.01,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,233.00,13544.00,0.00,0.00,4.24,58.13,328.00,33052.00,0.00,0.00,3.04,100.77,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,231.00,15924.00,0.00,0.00,4.26,68.94,333.00,33112.00,1.00,0.30,3.00,99.44,0.00,0.00,0.00,0.00,0.00,0.00,1.98,100.00
nvme0n1,230.00,15192.00,0.00,0.00,4.32,66.05,335.00,33184.00,1.00,0.30,2.99,99.06,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,228.00,18256.00,0.00,0.00,4.35,80.07,319.00,32580.00,1.00,0.31,3.12,102.13,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,231.00,14936.00,0.00,0.00,4.26,64.66,329.00,33180.00,0.00,0.00,3.04,100.85,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,230.00,16680.00,0.00,0.00,4.33,72.52,332.00,33060.00,1.00,0.30,3.00,99.58,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,228.71,13306.93,0.00,0.00,4.29,58.18,327.72,32819.80,0.99,0.30,3.02,100.15,0.00,0.00,0.00,0.00,0.00,0.00,1.97,99.01
nvme0n1,232.00,13696.00,0.00,0.00,4.29,59.03,339.00,33064.00,0.00,0.00,2.94,97.53,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,229.00,15672.00,0.00,0.00,4.34,68.44,329.00,32828.00,2.00,0.60,3.04,99.78,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,231.00,15648.00,0.00,0.00,4.32,67.74,331.00,33132.00,0.00,0.00,3.02,100.10,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,230.00,16960.00,0.00,0.00,4.35,73.74,326.00,33028.00,0.00,0.00,3.06,101.31,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,229.00,13796.00,0.00,0.00,4.31,60.24,323.00,33168.00,1.00,0.31,3.10,102.69,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
nvme0n1,229.00,13392.00,0.00,0.00,4.31,58.48,323.00,33100.00,1.00,0.31,3.09,102.48,0.00,0.00,0.00,0.00,0.00,0.00,1.99,100.00
