Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1008.06,4733.50,0.00,0.00,0.41,4.70,9.15,876.78,0.42,4.35,82.76,95.87,0.00,1701.45,0.00,0.00,5.44,2093799.13,1.17,3.03
nvme0n1,4385.00,275260.00,0.00,0.00,0.18,62.77,2.00,16.00,2.00,50.00,2.50,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4329.00,278616.00,0.00,0.00,0.18,64.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4408.00,271592.00,0.00,0.00,0.18,61.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4370.00,273912.00,0.00,0.00,0.18,62.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4351.00,282100.00,0.00,0.00,0.18,64.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4380.00,277884.00,0.00,0.00,0.18,63.44,2.00,12.00,1.00,33.33,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4365.00,282180.00,0.00,0.00,0.18,64.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4304.00,280628.00,0.00,0.00,0.18,65.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4326.00,277312.00,0.00,0.00,0.18,64.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4273.00,276932.00,0.00,0.00,0.18,64.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4323.00,273196.00,0.00,0.00,0.18,63.20,3.00,2064.00,2.00,40.00,2.00,688.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4366.00,278904.00,0.00,0.00,0.18,63.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4339.00,275232.00,0.00,0.00,0.18,63.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4354.00,284608.00,0.00,0.00,0.18,65.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4242.00,281912.00,0.00,0.00,0.18,66.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4254.00,273120.00,0.00,0.00,0.18,64.20,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4267.00,280260.00,0.00,0.00,0.18,65.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4291.00,276196.00,0.00,0.00,0.18,64.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4376.00,273488.00,0.00,0.00,0.18,62.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4300.00,276360.00,0.00,0.00,0.18,64.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4284.00,274348.00,0.00,0.00,0.18,64.04,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4304.00,270960.00,0.00,0.00,0.18,62.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4282.00,272312.00,0.00,0.00,0.18,63.59,11.00,44.00,0.00,0.00,0.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4311.00,268248.00,0.00,0.00,0.18,62.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4217.00,278400.00,0.00,0.00,0.18,66.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4281.00,274424.00,0.00,0.00,0.18,64.10,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4313.00,274324.00,0.00,0.00,0.18,63.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,2800.00,179384.00,0.00,0.00,0.30,64.07,3933.00,381748.00,0.00,0.00,0.30,97.06,0.00,0.00,0.00,0.00,0.00,0.00,2.02,100.00
nvme0n1,180.00,13004.00,0.00,0.00,5.54,72.24,10812.00,1049760.00,3.00,0.03,0.28,97.09,0.00,0.00,0.00,0.00,0.00,0.00,4.01,100.00
