Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1008.42,4194.67,0.00,0.00,0.40,4.16,2.97,290.74,0.35,10.50,251.93,97.81,0.00,1717.56,0.00,0.00,5.44,2093799.13,1.16,2.12
nvme0n1,234.00,15240.00,0.00,0.00,4.24,65.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,99.60
nvme0n1,234.00,15744.00,0.00,0.00,4.27,67.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,234.00,14616.00,0.00,0.00,4.30,62.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,99.60
nvme0n1,235.00,14480.00,0.00,0.00,4.24,61.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,234.00,14132.00,0.00,0.00,4.26,60.39,2.00,12.00,1.00,33.33,7.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,100.00
nvme0n1,235.00,13768.00,0.00,0.00,4.34,58.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,100.00
nvme0n1,234.00,16036.00,0.00,0.00,4.34,68.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,100.00
nvme0n1,235.00,14332.00,0.00,0.00,4.21,60.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,100.00
nvme0n1,234.00,15200.00,0.00,0.00,4.35,64.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,100.00
nvme0n1,234.00,13440.00,0.00,0.00,4.29,57.44,2.00,12.00,1.00,33.33,6.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,100.00
nvme0n1,234.00,15092.00,0.00,0.00,4.31,64.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,100.00
nvme0n1,234.00,15252.00,0.00,0.00,4.29,65.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,234.00,15220.00,0.00,0.00,4.25,65.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,100.00
nvme0n1,232.00,15076.00,0.00,0.00,4.25,64.98,460.00,18592.00,225.00,32.85,2.40,40.42,0.00,0.00,0.00,0.00,0.00,0.00,2.09,100.00
nvme0n1,231.00,15032.00,0.00,0.00,4.27,65.07,176.00,16328.00,50.00,22.12,2.89,92.77,0.00,0.00,0.00,0.00,0.00,0.00,1.50,100.00
nvme0n1,234.00,14308.00,0.00,0.00,4.21,61.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,100.00
nvme0n1,234.00,14492.00,0.00,0.00,4.32,61.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,100.00
nvme0n1,234.00,15620.00,0.00,0.00,4.32,66.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,99.60
nvme0n1,235.00,14284.00,0.00,0.00,4.23,60.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,100.40
nvme0n1,230.00,14616.00,0.00,0.00,4.42,63.55,163.00,13420.00,19.00,10.44,3.82,82.33,0.00,0.00,0.00,0.00,0.00,0.00,1.64,100.00
nvme0n1,229.00,14320.00,0.00,0.00,4.41,62.53,372.00,33076.00,28.00,7.00,2.68,88.91,0.00,0.00,0.00,0.00,0.00,0.00,2.01,100.00
nvme0n1,228.00,14120.00,0.00,0.00,4.44,61.93,383.00,33112.00,15.00,3.77,2.61,86.45,0.00,0.00,0.00,0.00,0.00,0.00,2.01,100.00
nvme0n1,227.00,14864.00,0.00,0.00,4.48,65.48,377.00,33216.00,19.00,4.80,2.66,88.11,0.00,0.00,0.00,0.00,0.00,0.00,2.02,100.00
nvme0n1,229.00,13856.00,0.00,0.00,4.38,60.51,369.00,33060.00,15.00,3.91,2.70,89.59,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,228.00,16688.00,0.00,0.00,4.37,73.19,374.00,33092.00,114.00,23.36,2.67,88.48,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,229.00,13464.00,0.00,0.00,4.33,58.79,380.00,32792.00,122.00,24.30,2.63,86.29,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,230.00,15112.00,0.00,0.00,4.37,65.70,359.00,33100.00,0.00,0.00,2.78,92.20,0.00,0.00,0.00,0.00,0.00,0.00,2.00,100.00
nvme0n1,232.00,12552.00,0.00,0.00,4.39,54.10,358.00,33088.00,1.00,0.28,2.79,92.42,0.00,0.00,0.00,0.00,0.00,0.00,2.02,100.00
nvme0n1,232.00,13272.00,0.00,0.00,4.43,57.21,372.00,33160.00,0.00,0.00,2.69,89.14,0.00,0.00,0.00,0.00,0.00,0.00,2.03,100.00
