Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1013.37,5207.64,0.00,0.00,0.41,5.14,14.24,1364.61,0.42,2.84,53.59,95.85,0.00,1697.67,0.00,0.00,5.44,2093799.13,1.18,3.24
nvme0n1,4167.00,266112.00,0.00,0.00,0.19,63.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4176.00,264012.00,0.00,0.00,0.19,63.22,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4238.00,266432.00,0.00,0.00,0.18,62.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4222.00,267984.00,0.00,0.00,0.18,63.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4116.00,269936.00,0.00,0.00,0.19,65.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4146.00,267516.00,0.00,0.00,0.19,64.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4163.00,258856.00,0.00,0.00,0.19,62.18,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4194.00,263928.00,0.00,0.00,0.18,62.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4132.00,270972.00,0.00,0.00,0.19,65.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4112.00,266028.00,0.00,0.00,0.19,64.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4167.00,269396.00,0.00,0.00,0.19,64.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4197.00,262208.00,0.00,0.00,0.19,62.48,2.00,12.00,1.00,33.33,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4163.00,272140.00,0.00,0.00,0.19,65.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4236.00,272544.00,0.00,0.00,0.19,64.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4188.00,268136.00,0.00,0.00,0.18,64.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4178.00,268524.00,0.00,0.00,0.19,64.27,1.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4148.00,269912.00,0.00,0.00,0.19,65.07,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4204.00,264456.00,0.00,0.00,0.18,62.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4122.00,264696.00,0.00,0.00,0.19,64.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4175.00,261072.00,0.00,0.00,0.19,62.53,1.00,2048.00,0.00,0.00,1.00,2048.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4165.00,265980.00,0.00,0.00,0.19,63.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4130.00,262764.00,0.00,0.00,0.19,63.62,2.00,16.00,2.00,50.00,2.50,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4116.00,268304.00,0.00,0.00,0.19,65.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4156.00,258668.00,0.00,0.00,0.19,62.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4138.00,268164.00,0.00,0.00,0.19,64.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,1935.00,121656.00,0.00,0.00,0.46,62.87,6309.00,599132.00,0.00,0.00,0.58,94.96,0.00,0.00,0.00,0.00,0.00,0.00,4.57,100.00
nvme0n1,118.00,6688.00,0.00,0.00,8.42,56.68,11180.00,1055712.00,1.00,0.01,0.33,94.43,0.00,0.00,0.00,0.00,0.00,0.00,4.71,100.00
nvme0n1,158.00,9268.00,0.00,0.00,6.30,58.66,10952.00,1036284.00,2.00,0.02,0.27,94.62,0.00,0.00,0.00,0.00,0.00,0.00,4.00,100.00
nvme0n1,110.00,7660.00,0.00,0.00,9.04,69.64,11380.00,1065088.00,0.00,0.00,2.23,93.59,0.00,0.00,0.00,0.00,0.00,0.00,26.39,100.00
