Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1010.50,4401.29,0.00,0.00,0.40,4.36,5.21,502.83,0.40,7.18,144.02,96.44,0.00,1715.40,0.00,0.00,5.44,2093799.13,1.16,2.24
nvme0n1,4316.00,270932.00,0.00,0.00,0.18,62.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4341.00,270728.00,0.00,0.00,0.18,62.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4315.00,268836.00,0.00,0.00,0.18,62.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,1346.00,86900.00,0.00,0.00,0.69,64.56,22678.00,2269728.00,166.00,0.73,1.31,100.09,0.00,0.00,0.00,0.00,0.00,0.00,30.57,100.00
nvme0n1,572.00,33496.00,0.00,0.00,1.68,58.56,28252.00,2860788.00,32.00,0.11,3.46,101.26,0.00,0.00,0.00,0.00,0.00,0.00,98.74,100.00
nvme0n1,576.00,35812.00,0.00,0.00,1.67,62.17,28009.00,2831380.00,107.00,0.38,3.35,101.09,0.00,0.00,0.00,0.00,0.00,0.00,94.76,100.00
nvme0n1,3767.00,236576.00,0.00,0.00,0.21,62.80,3804.00,387696.00,12.00,0.31,3.31,101.92,0.00,0.00,0.00,0.00,0.00,0.00,13.40,100.00
nvme0n1,4254.00,266504.00,0.00,0.00,0.18,62.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4306.00,263932.00,0.00,0.00,0.18,61.29,15.00,3644.00,385.00,96.25,0.27,242.93,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4254.00,268048.00,0.00,0.00,0.18,63.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4245.00,267532.00,0.00,0.00,0.19,63.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4227.00,271084.00,0.00,0.00,0.19,64.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4281.00,275672.00,0.00,0.00,0.18,64.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4297.00,268596.00,0.00,0.00,0.18,62.51,2.00,16.00,2.00,50.00,0.50,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4197.00,277808.00,0.00,0.00,0.19,66.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,100.00
nvme0n1,4282.00,266948.00,0.00,0.00,0.18,62.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4268.00,275176.00,0.00,0.00,0.18,64.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4295.00,266988.00,0.00,0.00,0.18,62.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4327.00,263420.00,0.00,0.00,0.18,60.88,2.00,12.00,1.00,33.33,0.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4234.00,275672.00,0.00,0.00,0.19,65.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4272.00,271036.00,0.00,0.00,0.18,63.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4289.00,265388.00,0.00,0.00,0.18,61.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4297.00,271252.00,0.00,0.00,0.18,63.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4271.00,267512.00,0.00,0.00,0.18,62.63,2.00,12.00,1.00,33.33,0.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4285.00,267760.00,0.00,0.00,0.18,62.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4194.00,272528.00,0.00,0.00,0.19,64.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4241.00,270296.00,0.00,0.00,0.19,63.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4249.00,270668.00,0.00,0.00,0.18,63.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4307.00,273320.00,0.00,0.00,0.18,63.46,2.00,12.00,1.00,33.33,0.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
